glyph_name,ps_name,sort_final,sort_design
_klmidN,_klmidN,19030,19030
_klmidS,_klmidS,19031,19031
_klmidW,_klmidW,19032,19032
_klmidWN,_klmidWN,19033,19033
_klmidline,_klmidline,19034,19034
_klserifE,_klserifE,19035,19035
_klserifEN,_klserifEN,19036,19036
_klserifENshort,_klserifENshort,19037,19037
_klserifES,_klserifES,19038,19038
_klserifESshort,_klserifESshort,19039,19039
_klserifW,_klserifW,19040,19040
_klserifWN,_klserifWN,19041,19041
_klserifWNshort,_klserifWNshort,19042,19042
_klserifWS,_klserifWS,19043,19043
_klserifWSshort,_klserifWSshort,19044,19044
_klsqEN,_klsqEN,19045,19045
_klsqES,_klsqES,19046,19046
_klsqNE,_klsqNE,19047,19047
_klsqNEshort,_klsqNEshort,19048,19048
_klsqNW,_klsqNW,19049,19049
_klsqNWshort,_klsqNWshort,19050,19050
_klsqSE,_klsqSE,19051,19051
_klsqSEshort,_klsqSEshort,19052,19052
_klsqSW,_klsqSW,19053,19053
_klsqSWshort,_klsqSWshort,19054,19054
_klsqWN,_klsqWN,19055,19055
_klsqWS,_klsqWS,19056,19056
_klasccomp,_klasccomp,19090,19090
_klcirclecomp,_klcirclecomp,19091,19091
_kldesccomp,_kldesccomp,19092,19092
_kldiagcomp,_kldiagcomp,19093,19093
_klsquarecomp,_klsquarecomp,19094,19094
_latarchE,_latarchE,19101,19101
_latarchW,_latarchW,19102,19102
_latbowlE,_latbowlE,19103,19103
_latbowlW,_latbowlW,19104,19104
_latcirNE,_latcirNE,19105,19105
_latcirNW,_latcirNW,19106,19106
_latcirSE,_latcirSE,19107,19107
_latcirSW,_latcirSW,19108,19108
_latcrossbar,_latcrossbar,19109,19109
_latcurveNE,_latcurveNE,19110,19110
_latcurveSE,_latcurveSE,19111,19111
_latdot,_latdot,19112,19112
_lathalfserifNW,_lathalfserifNW,19113,19113
_lathalfserifSE,_lathalfserifSE,19114,19114
_lathalfserifascW,_lathalfserifascW,19115,19115
_latlongserifSW,_latlongserifSW,19116,19116
_latroundarchE,_latroundarchE,19117,19117
_latroundarchW,_latroundarchW,19118,19118
_latroundbowlE,_latroundbowlE,19119,19119
_latroundbowlW,_latroundbowlW,19120,19120
_latserifNE,_latserifNE,19121,19121
_latserifNW,_latserifNW,19122,19122
_latserifSE,_latserifSE,19123,19123
_latserifSW,_latserifSW,19124,19124
_latstemNE,_latstemNE,19125,19125
_latstemNW,_latstemNW,19126,19126
_latstemSE,_latstemSE,19127,19127
_latstemSW,_latstemSW,19128,19128
_latstemascW,_latstemascW,19129,19129
_latstemdescE,_latstemdescE,19130,19130
_latstemdescW,_latstemdescW,19131,19131
space,space,3,20003
exclam,exclam,4,20004
quotedbl,quotedbl,5,20005
numbersign,numbersign,6,20006
dollar,dollar,7,20007
percent,percent,8,20008
ampersand,ampersand,9,20009
quotesingle,quotesingle,10,20010
parenleft,parenleft,11,20011
parenright,parenright,12,20012
asterisk,asterisk,13,20013
plus,plus,14,20014
comma,comma,15,20015
hyphen,hyphen,16,20016
period,period,17,20017
slash,slash,18,20018
zero,zero,19,20019
one,one,20,20020
two,two,21,20021
three,three,22,20022
four,four,23,20023
five,five,24,20024
six,six,25,20025
seven,seven,26,20026
eight,eight,27,20027
nine,nine,28,20028
colon,colon,29,20029
semicolon,semicolon,30,20030
less,less,31,20031
equal,equal,32,20032
greater,greater,33,20033
question,question,34,20034
at,at,35,20035
A,A,36,20036
B,B,37,20037
C,C,38,20038
D,D,39,20039
E,E,40,20040
F,F,41,20041
G,G,42,20042
H,H,43,20043
I,I,44,20044
J,J,45,20045
K,K,46,20046
L,L,47,20047
M,M,48,20048
N,N,49,20049
O,O,50,20050
P,P,51,20051
Q,Q,52,20052
R,R,53,20053
S,S,54,20054
T,T,55,20055
U,U,56,20056
V,V,57,20057
W,W,58,20058
X,X,59,20059
Y,Y,60,20060
Z,Z,61,20061
bracketleft,bracketleft,62,20062
backslash,backslash,63,20063
bracketright,bracketright,64,20064
asciicircum,asciicircum,65,20065
underscore,underscore,66,20066
grave,grave,67,20067
a,a,68,20068
b,b,69,20069
c,c,70,20070
